id,oracle_precision,oracle_recall,gui_precision,gui_recall,gui_tps,gui_fps,gui_fns,gui_tns,oracle_tps,oracle_fps,oracle_fns,oracle_tns,Success,Reduction
c1-t1-a11-a12,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a11-a13,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a11-a15,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a11-a14,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a12-a11,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a12-a13,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a12-a15,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a12-a14,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a13-a11,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a13-a15,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a13-a12,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a13-a14,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c1-t1-a14-a11,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a14-a13,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a14-a15,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c1-t1-a14-a12,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a15-a11,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a15-a13,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a15-a12,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c1-t1-a15-a14,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c1-t2-a11-a12,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a11-a13,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a11-a15,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a11-a14,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a12-a11,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a12-a13,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a12-a15,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a12-a14,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a13-a11,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a13-a15,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a13-a12,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a13-a14,1.0,1.0,1.0,1.0,3,0,0,0,3,0,0,0,,
c1-t2-a14-a11,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a14-a13,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a14-a15,1.0,1.0,1.0,1.0,4,0,0,0,3,0,0,0,,
c1-t2-a14-a12,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a15-a11,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a15-a13,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a15-a12,1.0,1.0,1.0,1.0,3,0,0,1,3,0,0,0,,
c1-t2-a15-a14,1.0,1.0,1.0,1.0,4,0,0,0,3,0,0,0,,
c4-t1-a41-a44,1.0,1.0,1.0,1.0,2,0,0,0,3,0,0,0,,
c4-t1-a41-a43,1.0,1.0,1.0,1.0,2,0,0,0,3,0,0,0,,
c4-t1-a43-a44,1.0,1.0,1.0,1.0,2,0,0,0,3,0,0,0,,
c4-t1-a43-a41,1.0,1.0,1.0,1.0,2,0,0,0,3,0,0,0,,
c4-t1-a44-a43,1.0,1.0,1.0,1.0,2,0,0,0,3,0,0,0,,
c4-t1-a44-a41,1.0,1.0,1.0,1.0,2,0,0,0,3,0,0,0,,
c4-t2-a41-a44,1.0,1.0,1.0,1.0,7,0,0,0,3,0,0,0,,
c4-t2-a41-a43,0.0,divisible by zero,0.4,0.5,2,3,2,0,0,2,0,0,,
c4-t2-a43-a44,1.0,1.0,1.0,1.0,7,0,0,0,3,0,0,0,,
c4-t2-a43-a41,1.0,1.0,1.0,1.0,7,0,0,0,3,0,0,0,,
c4-t2-a44-a43,1.0,1.0,1.0,1.0,7,0,0,0,3,0,0,0,,
c4-t2-a44-a41,1.0,1.0,1.0,1.0,7,0,0,0,3,0,0,0,,
c5-t1-a51-a53,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a51-a55,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a51-a52,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a51-a54,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a52-a53,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a52-a51,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a52-a55,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a52-a54,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a53-a51,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c5-t1-a53-a55,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c5-t1-a53-a52,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c5-t1-a53-a54,1.0,1.0,1.0,1.0,2,0,0,1,1,0,0,0,,
c5-t1-a54-a53,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a54-a51,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a54-a55,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a54-a52,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a55-a53,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a55-a51,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a55-a52,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t1-a55-a54,1.0,1.0,1.0,1.0,2,0,0,0,1,0,0,0,,
c5-t2-a51-a53,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a51-a55,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a51-a52,divisible by zero,0.0,0.3333333333333333,1.0,1,2,0,0,0,0,1,0,,
c5-t2-a51-a54,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a52-a53,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a52-a51,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a52-a55,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a52-a54,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a53-a51,1.0,1.0,1.0,1.0,3,0,0,1,1,0,0,0,,
c5-t2-a53-a55,1.0,1.0,1.0,1.0,3,0,0,1,1,0,0,0,,
c5-t2-a53-a52,divisible by zero,0.0,0.5,0.5,1,1,1,1,0,0,1,0,,
c5-t2-a53-a54,1.0,1.0,1.0,1.0,3,0,0,1,1,0,0,0,,
c5-t2-a54-a53,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a54-a51,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a54-a55,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a54-a52,divisible by zero,0.0,0.6666666666666666,1.0,2,1,0,0,0,0,1,0,,
c5-t2-a55-a53,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a55-a51,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c5-t2-a55-a52,divisible by zero,0.0,0.6666666666666666,1.0,2,1,0,0,0,0,1,0,,
c5-t2-a55-a54,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c3-t1-a31-a35,0.3333333333333333,1.0,0.5,1.0,4,4,0,0,1,2,0,0,,
c3-t1-a35-a31,0.0,0.0,0.5,1.0,5,5,0,0,0,3,1,1,,
c3-t2-a31-a35,0.0,0.0,0.0,0.0,0,3,2,0,0,2,2,0,,
c3-t2-a35-a31,0.0,0.0,0.0,0.0,0,3,2,0,0,3,1,0,,
c2-t1-a21-a22,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c2-t1-a21-a23,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c2-t1-a21-a25,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c2-t1-a22-a21,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c2-t1-a22-a23,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c2-t1-a22-a25,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c2-t1-a23-a22,1.0,1.0,1.0,1.0,3,0,0,1,1,0,0,0,,
c2-t1-a23-a21,1.0,1.0,1.0,1.0,3,0,0,1,1,0,0,0,,
c2-t1-a23-a25,0.0,divisible by zero,0.25,1.0,1,3,0,0,0,1,0,0,,
c2-t1-a25-a22,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c2-t1-a25-a21,1.0,1.0,1.0,1.0,3,0,0,0,1,0,0,0,,
c2-t1-a25-a23,0.0,divisible by zero,0.3333333333333333,1.0,1,2,0,0,0,1,0,0,,
c2-t2-a21-a22,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a21-a23,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a21-a25,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a22-a21,1.0,1.0,0.8,1.0,4,1,0,0,2,0,0,0,,
c2-t2-a22-a23,0.0,divisible by zero,0.0,0.0,0,3,1,0,0,1,0,0,,
c2-t2-a22-a25,1.0,1.0,0.8,1.0,4,1,0,0,2,0,0,0,,
c2-t2-a23-a22,1.0,1.0,1.0,1.0,5,0,0,1,2,0,0,0,,
c2-t2-a23-a21,1.0,1.0,0.8,1.0,4,1,0,1,2,0,0,0,,
c2-t2-a23-a25,1.0,1.0,0.6,1.0,3,2,0,1,2,0,0,0,,
c2-t2-a25-a22,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a25-a21,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a25-a23,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
